Unnamed: 0,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB
7418,67+2,67+2,67+2,60+2,64+2,64+2,64+2,60+2,62+2,62+2,62+2,60+2,56+2,56+2,56+2,60+2,43+2,46+2,46+2,46+2,43+2,41+2,44+2,44+2,44+2,41+2
7419,63+2,63+2,63+2,65+2,66+2,66+2,66+2,65+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,63+2,63+2,63+2,63+2,63+2,60+2,57+2,57+2,57+2,60+2
7420,62+2,62+2,62+2,68+2,66+2,66+2,66+2,68+2,66+2,66+2,66+2,68+2,60+2,60+2,60+2,68+2,51+2,48+2,48+2,48+2,51+2,47+2,38+2,38+2,38+2,47+2
7421,66+2,66+2,66+2,60+2,64+2,64+2,64+2,60+2,62+2,62+2,62+2,60+2,61+2,61+2,61+2,60+2,50+2,53+2,53+2,53+2,50+2,47+2,50+2,50+2,50+2,47+2
7422,61+2,61+2,61+2,62+2,62+2,62+2,62+2,62+2,63+2,63+2,63+2,63+2,65+2,65+2,65+2,63+2,65+2,67+2,67+2,67+2,65+2,65+2,68+2,68+2,68+2,65+2
7423,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7424,63+2,63+2,63+2,68+2,66+2,66+2,66+2,68+2,67+2,67+2,67+2,67+2,61+2,61+2,61+2,67+2,55+2,51+2,51+2,51+2,55+2,52+2,45+2,45+2,45+2,52+2
7425,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,67+2,67+2,67+2,67+2,61+2,61+2,61+2,67+2,53+2,50+2,50+2,50+2,53+2,51+2,46+2,46+2,46+2,51+2
7426,66+2,66+2,66+2,63+2,64+2,64+2,64+2,63+2,62+2,62+2,62+2,62+2,54+2,54+2,54+2,62+2,46+2,42+2,42+2,42+2,46+2,43+2,40+2,40+2,40+2,43+2
7427,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7428,65+2,65+2,65+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,66+2,59+2,59+2,59+2,66+2,53+2,49+2,49+2,49+2,53+2,51+2,45+2,45+2,45+2,51+2
7429,62+2,62+2,62+2,65+2,64+2,64+2,64+2,65+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,68+2,68+2,68+2,68+2,68+2,67+2,66+2,66+2,66+2,67+2
7430,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,67+2,59+2,58+2,58+2,58+2,59+2,57+2,54+2,54+2,54+2,57+2
7431,63+2,63+2,63+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,67+2,62+2,62+2,62+2,67+2,55+2,50+2,50+2,50+2,55+2,52+2,43+2,43+2,43+2,52+2
7432,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7433,62+2,62+2,62+2,65+2,64+2,64+2,64+2,65+2,64+2,64+2,64+2,65+2,64+2,64+2,64+2,65+2,67+2,65+2,65+2,65+2,67+2,66+2,65+2,65+2,65+2,66+2
7434,67+2,67+2,67+2,70+2,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,66+2,66+2,66+2,70+2,57+2,55+2,55+2,55+2,57+2,54+2,49+2,49+2,49+2,54+2
7435,52+2,52+2,52+2,48+2,49+2,49+2,49+2,48+2,49+2,49+2,49+2,50+2,51+2,51+2,51+2,50+2,60+2,61+2,61+2,61+2,60+2,62+2,67+2,67+2,67+2,62+2
7436,62+2,62+2,62+2,66+2,64+2,64+2,64+2,66+2,64+2,64+2,64+2,67+2,60+2,60+2,60+2,67+2,54+2,49+2,49+2,49+2,54+2,51+2,43+2,43+2,43+2,51+2
7437,43+2,43+2,43+2,42+2,42+2,42+2,42+2,42+2,45+2,45+2,45+2,44+2,50+2,50+2,50+2,44+2,56+2,61+2,61+2,61+2,56+2,59+2,66+2,66+2,66+2,59+2
7438,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,65+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,66+2,66+2
7439,45+2,45+2,45+2,42+2,44+2,44+2,44+2,42+2,47+2,47+2,47+2,46+2,54+2,54+2,54+2,46+2,56+2,64+2,64+2,64+2,56+2,57+2,67+2,67+2,67+2,57+2
7440,60+2,60+2,60+2,63+2,62+2,62+2,62+2,63+2,64+2,64+2,64+2,65+2,67+2,67+2,67+2,65+2,67+2,67+2,67+2,67+2,67+2,66+2,64+2,64+2,64+2,66+2
7441,51+2,51+2,51+2,52+2,52+2,52+2,52+2,52+2,55+2,55+2,55+2,55+2,60+2,60+2,60+2,55+2,62+2,66+2,66+2,66+2,62+2,63+2,66+2,66+2,66+2,63+2
7442,66+2,66+2,66+2,64+2,65+2,65+2,65+2,64+2,64+2,64+2,64+2,63+2,57+2,57+2,57+2,63+2,46+2,44+2,44+2,44+2,46+2,44+2,40+2,40+2,40+2,44+2
7443,66+2,66+2,66+2,68+2,67+2,67+2,67+2,68+2,66+2,66+2,66+2,66+2,58+2,58+2,58+2,66+2,49+2,44+2,44+2,44+2,49+2,46+2,39+2,39+2,39+2,46+2
7444,48+2,48+2,48+2,46+2,46+2,46+2,46+2,46+2,47+2,47+2,47+2,49+2,51+2,51+2,51+2,49+2,59+2,62+2,62+2,62+2,59+2,62+2,66+2,66+2,66+2,62+2
7445,62+2,62+2,62+2,64+2,64+2,64+2,64+2,64+2,65+2,65+2,65+2,65+2,67+2,67+2,67+2,65+2,66+2,67+2,67+2,67+2,66+2,66+2,65+2,65+2,65+2,66+2
7446,48+2,48+2,48+2,45+2,46+2,46+2,46+2,45+2,47+2,47+2,47+2,49+2,53+2,53+2,53+2,49+2,58+2,62+2,62+2,62+2,58+2,60+2,67+2,67+2,67+2,60+2
7447,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7448,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,66+2,59+2,59+2,59+2,66+2,50+2,46+2,46+2,46+2,50+2,47+2,41+2,41+2,41+2,47+2
7449,55+2,55+2,55+2,54+2,54+2,54+2,54+2,54+2,54+2,54+2,54+2,56+2,58+2,58+2,58+2,56+2,65+2,65+2,65+2,65+2,65+2,66+2,69+2,69+2,69+2,66+2
7450,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,63+2,63+2,63+2,67+2,51+2,51+2,51+2,51+2,51+2,47+2,44+2,44+2,44+2,47+2
7451,47+2,47+2,47+2,47+2,46+2,46+2,46+2,47+2,46+2,46+2,46+2,49+2,49+2,49+2,49+2,49+2,59+2,60+2,60+2,60+2,59+2,61+2,66+2,66+2,66+2,61+2
7452,57+2,57+2,57+2,65+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,65+2,62+2,62+2,62+2,65+2,57+2,56+2,56+2,56+2,57+2,55+2,50+2,50+2,50+2,55+2
7453,58+2,58+2,58+2,62+2,61+2,61+2,61+2,62+2,60+2,60+2,60+2,62+2,61+2,61+2,61+2,62+2,67+2,63+2,63+2,63+2,67+2,67+2,63+2,63+2,63+2,67+2
7454,57+2,57+2,57+2,62+2,59+2,59+2,59+2,62+2,61+2,61+2,61+2,64+2,63+2,63+2,63+2,64+2,66+2,64+2,64+2,64+2,66+2,66+2,63+2,63+2,63+2,66+2
7455,59+2,59+2,59+2,61+2,60+2,60+2,60+2,61+2,60+2,60+2,60+2,63+2,61+2,61+2,61+2,63+2,67+2,65+2,65+2,65+2,67+2,67+2,66+2,66+2,66+2,67+2
7456,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7457,65+2,65+2,65+2,68+2,67+2,67+2,67+2,68+2,67+2,67+2,67+2,67+2,62+2,62+2,62+2,67+2,53+2,51+2,51+2,51+2,53+2,50+2,44+2,44+2,44+2,50+2
7458,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,65+2,67+2,67+2,67+2,65+2,64+2,64+2,64+2,64+2,64+2
7459,63+2,63+2,63+2,62+2,62+2,62+2,62+2,62+2,60+2,60+2,60+2,63+2,61+2,61+2,61+2,63+2,67+2,65+2,65+2,65+2,67+2,67+2,69+2,69+2,69+2,67+2
7460,67+2,67+2,67+2,62+2,63+2,63+2,63+2,62+2,60+2,60+2,60+2,61+2,55+2,55+2,55+2,61+2,50+2,49+2,49+2,49+2,50+2,48+2,48+2,48+2,48+2,48+2
7461,68+2,68+2,68+2,66+2,67+2,67+2,67+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,65+2,65+2,65+2,65+2,65+2,64+2,63+2,63+2,63+2,64+2
7462,62+2,62+2,62+2,67+2,65+2,65+2,65+2,67+2,65+2,65+2,65+2,67+2,63+2,63+2,63+2,67+2,67+2,64+2,64+2,64+2,67+2,67+2,64+2,64+2,64+2,67+2
7463,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7464,60+2,60+2,60+2,60+2,61+2,61+2,61+2,60+2,62+2,62+2,62+2,61+2,64+2,64+2,64+2,61+2,64+2,66+2,66+2,66+2,64+2,64+2,67+2,67+2,67+2,64+2
7465,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,66+2,68+2,68+2,68+2,66+2,65+2,66+2,66+2,66+2,65+2,64+2,63+2,63+2,63+2,64+2
7466,60+2,60+2,60+2,61+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,64+2,63+2,63+2,63+2,64+2,67+2,65+2,65+2,65+2,67+2,67+2,65+2,65+2,65+2,67+2
7467,66+2,66+2,66+2,63+2,63+2,63+2,63+2,63+2,61+2,61+2,61+2,62+2,57+2,57+2,57+2,62+2,50+2,50+2,50+2,50+2,50+2,48+2,48+2,48+2,48+2,48+2
7468,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,66+2,61+2,61+2,61+2,66+2,56+2,52+2,52+2,52+2,56+2,53+2,48+2,48+2,48+2,53+2
7469,44+2,44+2,44+2,41+2,42+2,42+2,42+2,41+2,44+2,44+2,44+2,44+2,50+2,50+2,50+2,44+2,55+2,61+2,61+2,61+2,55+2,57+2,66+2,66+2,66+2,57+2
7470,59+2,59+2,59+2,60+2,59+2,59+2,59+2,60+2,58+2,58+2,58+2,61+2,59+2,59+2,59+2,61+2,66+2,63+2,63+2,63+2,66+2,67+2,65+2,65+2,65+2,67+2
7471,62+2,62+2,62+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,66+2,65+2,65+2,65+2,66+2,60+2,58+2,58+2,58+2,60+2,57+2,52+2,52+2,52+2,57+2
7472,62+2,62+2,62+2,67+2,65+2,65+2,65+2,67+2,66+2,66+2,66+2,66+2,62+2,62+2,62+2,66+2,58+2,56+2,56+2,56+2,58+2,56+2,52+2,52+2,52+2,56+2
7473,59+2,59+2,59+2,62+2,62+2,62+2,62+2,62+2,64+2,64+2,64+2,63+2,66+2,66+2,66+2,63+2,63+2,66+2,66+2,66+2,63+2,61+2,62+2,62+2,62+2,61+2
7474,63+2,63+2,63+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,60+2,60+2,60+2,66+2,48+2,45+2,45+2,45+2,48+2,44+2,35+2,35+2,35+2,44+2
7475,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7476,62+2,62+2,62+2,60+2,62+2,62+2,62+2,60+2,63+2,63+2,63+2,62+2,66+2,66+2,66+2,62+2,62+2,66+2,66+2,66+2,62+2,62+2,64+2,64+2,64+2,62+2
7477,48+2,48+2,48+2,45+2,46+2,46+2,46+2,45+2,48+2,48+2,48+2,47+2,52+2,52+2,52+2,47+2,58+2,62+2,62+2,62+2,58+2,61+2,67+2,67+2,67+2,61+2
7478,60+2,60+2,60+2,66+2,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,61+2,61+2,61+2,66+2,54+2,51+2,51+2,51+2,54+2,51+2,45+2,45+2,45+2,51+2
7479,66+2,66+2,66+2,63+2,64+2,64+2,64+2,63+2,63+2,63+2,63+2,62+2,56+2,56+2,56+2,62+2,46+2,44+2,44+2,44+2,46+2,44+2,41+2,41+2,41+2,44+2
7480,67+2,67+2,67+2,64+2,65+2,65+2,65+2,64+2,62+2,62+2,62+2,63+2,58+2,58+2,58+2,63+2,54+2,53+2,53+2,53+2,54+2,52+2,52+2,52+2,52+2,52+2
7481,62+2,62+2,62+2,63+2,62+2,62+2,62+2,63+2,63+2,63+2,63+2,64+2,66+2,66+2,66+2,64+2,66+2,67+2,67+2,67+2,66+2,64+2,64+2,64+2,64+2,64+2
7482,51+2,51+2,51+2,49+2,49+2,49+2,49+2,49+2,50+2,50+2,50+2,52+2,56+2,56+2,56+2,52+2,63+2,64+2,64+2,64+2,63+2,64+2,67+2,67+2,67+2,64+2
7483,49+2,49+2,49+2,46+2,47+2,47+2,47+2,46+2,47+2,47+2,47+2,49+2,53+2,53+2,53+2,49+2,60+2,63+2,63+2,63+2,60+2,62+2,67+2,67+2,67+2,62+2
7484,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7485,65+2,65+2,65+2,67+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,68+2,65+2,65+2,65+2,68+2,61+2,58+2,58+2,58+2,61+2,59+2,54+2,54+2,54+2,59+2
7486,53+2,53+2,53+2,58+2,57+2,57+2,57+2,58+2,59+2,59+2,59+2,61+2,62+2,62+2,62+2,61+2,66+2,65+2,65+2,65+2,66+2,66+2,65+2,65+2,65+2,66+2
7487,43+2,43+2,43+2,40+2,41+2,41+2,41+2,40+2,40+2,40+2,40+2,43+2,44+2,44+2,44+2,43+2,57+2,57+2,57+2,57+2,57+2,60+2,66+2,66+2,66+2,60+2
7488,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7489,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,65+2,65+2,65+2,66+2,58+2,58+2,58+2,66+2,53+2,48+2,48+2,48+2,53+2,51+2,45+2,45+2,45+2,51+2
7490,65+2,65+2,65+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,66+2,61+2,61+2,61+2,66+2,52+2,49+2,49+2,49+2,52+2,49+2,43+2,43+2,43+2,49+2
7491,51+2,51+2,51+2,58+2,55+2,55+2,55+2,58+2,56+2,56+2,56+2,62+2,59+2,59+2,59+2,62+2,67+2,64+2,64+2,64+2,67+2,66+2,65+2,65+2,65+2,66+2
7492,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7493,59+2,59+2,59+2,66+2,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,59+2,59+2,59+2,66+2,53+2,49+2,49+2,49+2,53+2,51+2,43+2,43+2,43+2,51+2
7494,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,66+2,59+2,59+2,59+2,66+2,50+2,45+2,45+2,45+2,50+2,46+2,40+2,40+2,40+2,46+2
7495,52+2,52+2,52+2,50+2,50+2,50+2,50+2,50+2,50+2,50+2,50+2,52+2,51+2,51+2,51+2,52+2,60+2,60+2,60+2,60+2,60+2,62+2,67+2,67+2,67+2,62+2
7496,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,65+2,64+2,64+2,64+2,65+2
7497,45+2,45+2,45+2,44+2,43+2,43+2,43+2,44+2,44+2,44+2,44+2,47+2,49+2,49+2,49+2,47+2,60+2,61+2,61+2,61+2,60+2,62+2,66+2,66+2,66+2,62+2
7498,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,66+2,62+2,62+2,62+2,66+2,55+2,54+2,54+2,54+2,55+2,53+2,50+2,50+2,50+2,53+2
7499,67+2,67+2,67+2,58+2,62+2,62+2,62+2,58+2,57+2,57+2,57+2,56+2,51+2,51+2,51+2,56+2,42+2,41+2,41+2,41+2,42+2,41+2,42+2,42+2,42+2,41+2
7500,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7501,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,66+2,60+2,60+2,60+2,66+2,46+2,44+2,44+2,44+2,46+2,42+2,37+2,37+2,37+2,42+2
7502,64+2,64+2,64+2,68+2,67+2,67+2,67+2,68+2,67+2,67+2,67+2,66+2,58+2,58+2,58+2,66+2,47+2,43+2,43+2,43+2,47+2,44+2,36+2,36+2,36+2,44+2
7503,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,67+2,63+2,63+2,63+2,67+2,58+2,56+2,56+2,56+2,58+2,55+2,52+2,52+2,52+2,55+2
7504,65+2,65+2,65+2,63+2,64+2,64+2,64+2,63+2,65+2,65+2,65+2,63+2,66+2,66+2,66+2,63+2,65+2,67+2,67+2,67+2,65+2,65+2,66+2,66+2,66+2,65+2
7505,43+2,43+2,43+2,49+2,46+2,46+2,46+2,49+2,49+2,49+2,49+2,53+2,53+2,53+2,53+2,53+2,62+2,62+2,62+2,62+2,62+2,63+2,66+2,66+2,66+2,63+2
7506,65+2,65+2,65+2,69+2,67+2,67+2,67+2,69+2,67+2,67+2,67+2,68+2,59+2,59+2,59+2,68+2,51+2,44+2,44+2,44+2,51+2,48+2,38+2,38+2,38+2,48+2
7507,66+2,66+2,66+2,59+2,62+2,62+2,62+2,59+2,58+2,58+2,58+2,58+2,53+2,53+2,53+2,58+2,43+2,41+2,41+2,41+2,43+2,41+2,41+2,41+2,41+2,41+2
7508,58+2,58+2,58+2,58+2,60+2,60+2,60+2,58+2,61+2,61+2,61+2,60+2,64+2,64+2,64+2,60+2,62+2,66+2,66+2,66+2,62+2,62+2,64+2,64+2,64+2,62+2
7509,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,66+2,66+2,66+2,67+2,59+2,59+2,59+2,67+2,52+2,50+2,50+2,50+2,52+2,49+2,46+2,46+2,46+2,49+2
7510,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7511,63+2,63+2,63+2,64+2,64+2,64+2,64+2,64+2,65+2,65+2,65+2,65+2,66+2,66+2,66+2,65+2,64+2,66+2,66+2,66+2,64+2,64+2,63+2,63+2,63+2,64+2
7512,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,64+2,64+2,64+2,64+2,64+2,62+2,60+2,60+2,60+2,62+2
7513,65+2,65+2,65+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,67+2,62+2,62+2,62+2,67+2,55+2,53+2,53+2,53+2,55+2,52+2,49+2,49+2,49+2,52+2
7514,61+2,61+2,61+2,68+2,65+2,65+2,65+2,68+2,65+2,65+2,65+2,67+2,57+2,57+2,57+2,67+2,51+2,44+2,44+2,44+2,51+2,47+2,37+2,37+2,37+2,47+2
7515,56+2,56+2,56+2,61+2,59+2,59+2,59+2,61+2,59+2,59+2,59+2,62+2,60+2,60+2,60+2,62+2,67+2,63+2,63+2,63+2,67+2,67+2,63+2,63+2,63+2,67+2
7516,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7517,57+2,57+2,57+2,60+2,60+2,60+2,60+2,60+2,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,65+2,66+2,66+2,66+2,65+2,65+2,65+2,65+2,65+2,65+2
7518,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7519,66+2,66+2,66+2,57+2,62+2,62+2,62+2,57+2,59+2,59+2,59+2,57+2,55+2,55+2,55+2,57+2,46+2,49+2,49+2,49+2,46+2,45+2,50+2,50+2,50+2,45+2
7520,66+2,66+2,66+2,60+2,62+2,62+2,62+2,60+2,59+2,59+2,59+2,59+2,54+2,54+2,54+2,59+2,47+2,47+2,47+2,47+2,47+2,45+2,46+2,46+2,46+2,45+2
7521,60+2,60+2,60+2,61+2,60+2,60+2,60+2,61+2,59+2,59+2,59+2,62+2,61+2,61+2,61+2,62+2,67+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,67+2
7522,57+2,57+2,57+2,63+2,60+2,60+2,60+2,63+2,61+2,61+2,61+2,65+2,62+2,62+2,62+2,65+2,67+2,64+2,64+2,64+2,67+2,67+2,64+2,64+2,64+2,67+2
7523,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7524,64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,65+2,65+2,65+2,67+2,58+2,56+2,56+2,56+2,58+2,56+2,50+2,50+2,50+2,56+2
7525,56+2,56+2,56+2,61+2,59+2,59+2,59+2,61+2,60+2,60+2,60+2,63+2,62+2,62+2,62+2,63+2,67+2,66+2,66+2,66+2,67+2,67+2,66+2,66+2,66+2,67+2
7526,46+2,46+2,46+2,44+2,45+2,45+2,45+2,44+2,45+2,45+2,45+2,48+2,51+2,51+2,51+2,48+2,59+2,62+2,62+2,62+2,59+2,61+2,67+2,67+2,67+2,61+2
7527,67+2,67+2,67+2,68+2,67+2,67+2,67+2,68+2,67+2,67+2,67+2,67+2,59+2,59+2,59+2,67+2,46+2,42+2,42+2,42+2,46+2,42+2,36+2,36+2,36+2,42+2
7528,50+2,50+2,50+2,59+2,55+2,55+2,55+2,59+2,58+2,58+2,58+2,62+2,60+2,60+2,60+2,62+2,67+2,65+2,65+2,65+2,67+2,66+2,65+2,65+2,65+2,66+2
7529,63+2,63+2,63+2,60+2,61+2,61+2,61+2,60+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,61+2,66+2,66+2,66+2,66+2,66+2,66+2,69+2,69+2,69+2,66+2
7530,63+2,63+2,63+2,62+2,62+2,62+2,62+2,62+2,62+2,62+2,62+2,63+2,64+2,64+2,64+2,63+2,65+2,66+2,66+2,66+2,65+2,65+2,67+2,67+2,67+2,65+2
7531,51+2,51+2,51+2,52+2,50+2,50+2,50+2,52+2,52+2,52+2,52+2,55+2,55+2,55+2,55+2,55+2,61+2,63+2,63+2,63+2,61+2,61+2,66+2,66+2,66+2,61+2
7532,63+2,63+2,63+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,65+2,65+2,65+2,64+2,66+2,67+2,67+2,67+2,66+2,66+2,67+2,67+2,67+2,66+2
7533,58+2,58+2,58+2,61+2,61+2,61+2,61+2,61+2,63+2,63+2,63+2,63+2,66+2,66+2,66+2,63+2,65+2,67+2,67+2,67+2,65+2,64+2,63+2,63+2,63+2,64+2
7534,66+2,66+2,66+2,66+2,65+2,65+2,65+2,66+2,64+2,64+2,64+2,65+2,57+2,57+2,57+2,65+2,47+2,45+2,45+2,45+2,47+2,44+2,41+2,41+2,41+2,44+2
7535,55+2,55+2,55+2,56+2,55+2,55+2,55+2,56+2,55+2,55+2,55+2,57+2,57+2,57+2,57+2,57+2,64+2,64+2,64+2,64+2,64+2,66+2,67+2,67+2,67+2,66+2
7536,59+2,59+2,59+2,58+2,59+2,59+2,59+2,58+2,59+2,59+2,59+2,59+2,62+2,62+2,62+2,59+2,63+2,65+2,65+2,65+2,63+2,63+2,67+2,67+2,67+2,63+2
7537,41+2,41+2,41+2,38+2,39+2,39+2,39+2,38+2,42+2,42+2,42+2,41+2,49+2,49+2,49+2,41+2,53+2,61+2,61+2,61+2,53+2,55+2,66+2,66+2,66+2,55+2
7538,64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,68+2,66+2,66+2,66+2,68+2,63+2,62+2,62+2,62+2,63+2,61+2,57+2,57+2,57+2,61+2
7539,63+2,63+2,63+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,65+2,63+2,63+2,63+2,65+2,55+2,54+2,54+2,54+2,55+2,53+2,46+2,46+2,46+2,53+2
7540,46+2,46+2,46+2,43+2,43+2,43+2,43+2,43+2,43+2,43+2,43+2,44+2,46+2,46+2,46+2,44+2,56+2,58+2,58+2,58+2,56+2,59+2,67+2,67+2,67+2,59+2
7541,66+2,66+2,66+2,65+2,65+2,65+2,65+2,65+2,63+2,63+2,63+2,63+2,55+2,55+2,55+2,63+2,48+2,42+2,42+2,42+2,48+2,45+2,40+2,40+2,40+2,45+2
7542,52+2,52+2,52+2,58+2,56+2,56+2,56+2,58+2,58+2,58+2,58+2,62+2,62+2,62+2,62+2,62+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2
7543,49+2,49+2,49+2,41+2,45+2,45+2,45+2,41+2,46+2,46+2,46+2,44+2,53+2,53+2,53+2,44+2,55+2,63+2,63+2,63+2,55+2,58+2,67+2,67+2,67+2,58+2
7544,59+2,59+2,59+2,63+2,61+2,61+2,61+2,63+2,62+2,62+2,62+2,64+2,63+2,63+2,63+2,64+2,67+2,65+2,65+2,65+2,67+2,67+2,65+2,65+2,65+2,67+2
7545,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7546,67+2,67+2,67+2,66+2,66+2,66+2,66+2,66+2,63+2,63+2,63+2,65+2,55+2,55+2,55+2,65+2,49+2,44+2,44+2,44+2,49+2,46+2,40+2,40+2,40+2,46+2
7547,64+2,64+2,64+2,68+2,68+2,68+2,68+2,68+2,69+2,69+2,69+2,67+2,66+2,66+2,66+2,67+2,57+2,57+2,57+2,57+2,57+2,55+2,50+2,50+2,50+2,55+2
7548,61+2,61+2,61+2,63+2,62+2,62+2,62+2,63+2,62+2,62+2,62+2,64+2,63+2,63+2,63+2,64+2,67+2,64+2,64+2,64+2,67+2,66+2,63+2,63+2,63+2,66+2
7549,67+2,67+2,67+2,66+2,66+2,66+2,66+2,66+2,65+2,65+2,65+2,65+2,60+2,60+2,60+2,65+2,51+2,48+2,48+2,48+2,51+2,48+2,44+2,44+2,44+2,48+2
7550,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,66+2,61+2,61+2,61+2,66+2,57+2,54+2,54+2,54+2,57+2,55+2,53+2,53+2,53+2,55+2
7551,62+2,62+2,62+2,65+2,65+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,66+2,63+2,64+2,64+2,64+2,63+2,62+2,61+2,61+2,61+2,62+2
7552,60+2,60+2,60+2,62+2,62+2,62+2,62+2,62+2,64+2,64+2,64+2,64+2,66+2,66+2,66+2,64+2,66+2,67+2,67+2,67+2,66+2,65+2,66+2,66+2,66+2,65+2
7553,63+2,63+2,63+2,66+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,67+2,67+2,66+2,66+2,66+2,67+2,66+2,63+2,63+2,63+2,66+2
7554,53+2,53+2,53+2,54+2,53+2,53+2,53+2,54+2,55+2,55+2,55+2,57+2,60+2,60+2,60+2,57+2,65+2,66+2,66+2,66+2,65+2,66+2,68+2,68+2,68+2,66+2
